id,blok_gudang,mode_pengiriman,panggilan_layanan_pelanggan,rating_pelanggan,harga_produk,pembelian_sebelumnya,kepentingan_produk,jenis_kelamin,diskon_ditawarkan,berat_dalam_gram,pengiriman_tepat_waktu
3173,C,kapal,3,2,158.0,2,sedang,Laki-laki,9,4881.0,0
3174,D,kapal,5,2,281.0,4,tinggi,Perempuan,5,3357.0,1
3175,A,kapal,2,2,199.0,3,rendah,Laki-laki,1,4697.0,1
3176,D,kapal,3,2,245.0,2,rendah,Perempuan,4,4514.0,1
3177,A,kapal,3,2,138.0,3,rendah,Laki-laki,49,1923.0,1
3178,F,kapal,3,5,149.0,3,rendah,Perempuan,9,5412.0,0
3179,F,darat,4,5,203.0,2,rendah,Perempuan,20,2421.0,1
3180,B,pesawat,5,5,240.0,6,sedang,Perempuan,9,1117.0,0
3181,C,pesawat,4,2,180.0,3,rendah,Perempuan,47,1434.0,1
3182,A,kapal,5,5,189.0,3,rendah,Perempuan,10,5554.0,1
3183,A,darat,5,2,155.0,3,rendah,Perempuan,10,4485.0,1
3184,B,kapal,4,2,156.0,3,sedang,Laki-laki,5,4946.0,1
3185,C,kapal,2,1,180.0,3,rendah,Laki-laki,2,4615.0,1
3186,A,kapal,4,4,192.0,3,rendah,Perempuan,25,2443.0,1
3187,D,kapal,6,4,276.0,4,rendah,Perempuan,2,1120.0,1
3188,F,darat,4,5,216.0,3,sedang,Perempuan,7,5891.0,0
3189,C,kapal,4,1,166.0,3,tinggi,Perempuan,3,1453.0,1
3190,F,kapal,4,1,249.0,6,sedang,Laki-laki,2,5720.0,1
3191,C,kapal,4,4,176.0,3,tinggi,Laki-laki,34,1283.0,1
3192,F,pesawat,6,5,305.0,4,rendah,Perempuan,7,1099.0,1
3193,F,pesawat,5,1,170.0,4,sedang,Laki-laki,4,5113.0,1
3194,B,kapal,3,3,110.0,3,rendah,Laki-laki,7,1235.0,1
3195,F,darat,4,4,263.0,3,sedang,Laki-laki,5,4193.0,0
3196,B,kapal,4,4,223.0,3,sedang,Perempuan,51,3895.0,1
3197,F,kapal,5,5,265.0,3,sedang,Laki-laki,46,3997.0,1
3198,D,pesawat,4,5,163.0,4,rendah,Perempuan,49,1470.0,1
3199,D,kapal,3,1,200.0,4,sedang,Perempuan,9,5193.0,0
3200,F,kapal,3,4,237.0,3,tinggi,Perempuan,9,5514.0,1
3201,F,kapal,4,3,259.0,5,rendah,Laki-laki,6,1867.0,1
3202,C,kapal,3,1,139.0,2,sedang,Laki-laki,2,4534.0,0
3203,C,darat,3,3,275.0,4,sedang,Laki-laki,2,4086.0,1
3204,A,darat,4,4,206.0,3,rendah,Laki-laki,2,5572.0,1
3205,F,kapal,4,4,145.0,2,sedang,Laki-laki,9,5070.0,0
3206,B,kapal,2,1,188.0,3,rendah,Laki-laki,62,2106.0,1
3207,B,kapal,3,4,160.0,2,sedang,Laki-laki,32,1085.0,1
3208,B,pesawat,5,3,119.0,2,rendah,Laki-laki,8,5290.0,1
3209,F,kapal,3,3,253.0,5,rendah,Perempuan,63,3788.0,1
3210,C,darat,5,4,265.0,3,sedang,Laki-laki,10,4565.0,0
3211,F,pesawat,4,2,220.0,2,sedang,Laki-laki,5,5864.0,0
3212,B,kapal,4,1,134.0,2,sedang,Perempuan,7,5967.0,0
3213,F,kapal,4,4,135.0,2,rendah,Laki-laki,4,4684.0,0
3214,F,darat,4,1,226.0,5,rendah,Laki-laki,9,1530.0,0
3215,F,pesawat,4,5,152.0,7,rendah,Laki-laki,9,4224.0,0
3216,D,kapal,4,1,132.0,4,sedang,Perempuan,10,1343.0,1
3217,B,kapal,3,4,230.0,2,sedang,Perempuan,15,2302.0,1
3218,F,kapal,3,2,133.0,3,sedang,Laki-laki,10,5803.0,0
3219,C,kapal,2,2,112.0,4,sedang,Laki-laki,56,1138.0,1
3220,F,kapal,3,3,201.0,2,rendah,Perempuan,2,5361.0,0
3221,F,kapal,3,2,201.0,3,sedang,Laki-laki,5,2040.0,1
3222,A,kapal,4,5,156.0,3,rendah,Perempuan,2,1127.0,1
3223,C,kapal,5,3,169.0,4,sedang,Perempuan,37,1290.0,1
3224,F,pesawat,3,3,214.0,2,sedang,Perempuan,9,4185.0,0
3225,C,kapal,3,4,267.0,2,rendah,Laki-laki,9,5940.0,0
3226,A,kapal,5,3,197.0,4,rendah,Perempuan,2,2222.0,1
3227,C,kapal,5,1,257.0,5,sedang,Laki-laki,1,1102.0,1
3228,F,kapal,3,4,229.0,6,sedang,Perempuan,33,2815.0,1
3229,D,kapal,3,3,148.0,3,rendah,Perempuan,8,5622.0,0
3230,D,pesawat,4,5,168.0,4,sedang,Perempuan,4,4776.0,1
3231,C,kapal,4,3,165.0,3,rendah,Laki-laki,4,1484.0,1
3232,F,kapal,3,5,258.0,3,rendah,Laki-laki,17,3033.0,1
3233,B,kapal,3,5,233.0,2,sedang,Perempuan,2,4193.0,0
3234,A,darat,5,3,269.0,3,rendah,Perempuan,8,4811.0,0
3235,B,pesawat,4,2,255.0,5,sedang,Laki-laki,2,1255.0,0
3236,C,kapal,5,4,222.0,3,rendah,Laki-laki,3,5555.0,0
3237,A,darat,4,5,163.0,3,sedang,Perempuan,2,4887.0,0
3238,A,kapal,3,5,190.0,10,sedang,Laki-laki,32,2931.0,1
3239,D,pesawat,6,4,290.0,4,rendah,Perempuan,3,1544.0,1
3240,A,kapal,4,1,204.0,4,rendah,Perempuan,3,1667.0,0
3241,C,kapal,2,4,158.0,5,sedang,Perempuan,2,4303.0,1
3242,F,pesawat,7,3,285.0,4,rendah,Laki-laki,10,1935.0,1
3243,B,kapal,6,5,295.0,4,sedang,Laki-laki,5,1963.0,1
3244,C,kapal,3,1,193.0,3,sedang,Laki-laki,3,5154.0,0
3245,A,kapal,5,1,213.0,2,tinggi,Perempuan,10,5607.0,1
3246,A,darat,6,5,260.0,4,rendah,Perempuan,8,1347.0,1
3247,F,kapal,5,3,217.0,3,tinggi,Perempuan,61,3067.0,1
3248,A,darat,6,1,278.0,4,sedang,Laki-laki,6,1576.0,0
3249,F,pesawat,3,2,219.0,4,rendah,Perempuan,6,4314.0,1
3250,A,pesawat,5,2,264.0,8,tinggi,Laki-laki,2,5252.0,1
3251,B,kapal,3,5,152.0,2,sedang,Perempuan,6,1800.0,1
3252,D,kapal,4,1,258.0,4,tinggi,Perempuan,1,5476.0,0
3253,B,pesawat,4,1,254.0,7,rendah,Laki-laki,5,4104.0,1
3254,A,kapal,6,5,268.0,4,sedang,Laki-laki,2,1462.0,0
3255,C,kapal,3,4,222.0,3,sedang,Laki-laki,57,2714.0,1
3256,A,kapal,5,1,172.0,2,rendah,Perempuan,9,1723.0,0
3257,D,kapal,6,2,135.0,5,rendah,Laki-laki,26,1585.0,1
3258,A,kapal,4,1,153.0,2,rendah,Perempuan,1,4027.0,0
3259,F,kapal,4,2,270.0,2,rendah,Laki-laki,65,3599.0,1
3260,F,kapal,4,4,255.0,6,rendah,Laki-laki,5,1708.0,1
3261,C,darat,4,3,175.0,2,rendah,Laki-laki,3,4200.0,0
3262,F,pesawat,5,2,161.0,2,sedang,Perempuan,59,1859.0,1
3263,C,kapal,4,4,243.0,3,tinggi,Perempuan,4,5082.0,1
3264,B,kapal,3,1,165.0,3,sedang,Laki-laki,61,1313.0,1
3265,B,kapal,5,4,227.0,2,sedang,Laki-laki,10,4734.0,0
3266,C,kapal,4,3,159.0,5,rendah,Laki-laki,4,4666.0,1
3267,F,kapal,4,5,201.0,3,rendah,Perempuan,10,4530.0,1
3268,F,kapal,6,1,287.0,4,sedang,Perempuan,1,1581.0,0
3269,D,kapal,3,4,254.0,2,sedang,Perempuan,44,3786.0,1
3270,F,kapal,4,4,226.0,2,tinggi,Laki-laki,53,3154.0,1
3271,C,kapal,4,5,223.0,3,sedang,Perempuan,9,5279.0,1
3272,D,darat,5,3,141.0,2,sedang,Laki-laki,4,,0
3273,F,kapal,2,5,170.0,8,rendah,Laki-laki,14,1396.0,1
3274,C,kapal,3,5,144.0,3,sedang,Perempuan,9,5912.0,0
3275,B,kapal,6,2,168.0,2,rendah,Laki-laki,3,5853.0,0
3276,D,kapal,3,1,221.0,3,sedang,Laki-laki,10,5696.0,1
3277,A,kapal,3,5,171.0,3,rendah,Perempuan,49,1333.0,1
3278,A,kapal,4,1,251.0,4,sedang,Perempuan,33,2906.0,1
3279,F,kapal,4,1,139.0,3,rendah,Perempuan,56,1811.0,1
3280,F,kapal,3,1,143.0,2,rendah,Perempuan,63,1246.0,1
3281,F,kapal,5,1,235.0,2,rendah,Laki-laki,27,2451.0,1
3282,B,kapal,4,3,192.0,3,rendah,Laki-laki,1,4045.0,1
3283,A,kapal,5,5,246.0,5,rendah,Perempuan,6,1911.0,0
3284,F,kapal,5,5,245.0,5,rendah,Laki-laki,5,1381.0,1
3285,D,kapal,3,4,263.0,6,tinggi,Laki-laki,3,4429.0,0
3286,D,kapal,4,4,266.0,2,rendah,Perempuan,2,4290.0,0
3287,F,kapal,4,1,152.0,7,rendah,Perempuan,5,5325.0,1
3288,A,kapal,6,1,205.0,5,rendah,Laki-laki,14,3213.0,1
3289,B,kapal,4,3,247.0,3,rendah,Perempuan,4,4962.0,1
3290,F,pesawat,2,4,274.0,10,tinggi,Laki-laki,3,4167.0,1
3291,C,kapal,2,1,248.0,6,rendah,Perempuan,2,5182.0,0
3292,A,kapal,6,4,268.0,4,sedang,Laki-laki,5,4126.0,1
3293,C,kapal,5,4,236.0,5,sedang,Perempuan,7,1017.0,0
3294,F,kapal,3,1,210.0,2,rendah,Laki-laki,9,4580.0,0
3295,D,kapal,7,4,309.0,4,rendah,Laki-laki,7,1880.0,0
3296,A,pesawat,3,5,255.0,7,sedang,Laki-laki,8,4091.0,1
3297,F,pesawat,2,4,264.0,3,sedang,Perempuan,6,4025.0,1
3298,A,kapal,6,2,294.0,4,rendah,Laki-laki,57,1265.0,1
3299,B,kapal,4,1,266.0,3,rendah,Perempuan,23,3775.0,1
3300,C,kapal,5,2,137.0,3,rendah,Laki-laki,6,4883.0,0
3301,F,darat,7,4,244.0,4,sedang,Perempuan,4,1953.0,1
3302,C,kapal,3,3,179.0,2,rendah,Laki-laki,5,5058.0,0
3303,C,kapal,4,1,189.0,10,sedang,Perempuan,2,4505.0,1
3304,B,kapal,4,1,194.0,3,sedang,Perempuan,6,5282.0,0
3305,C,kapal,4,3,200.0,2,sedang,Laki-laki,65,3485.0,1
3306,D,kapal,4,5,135.0,2,rendah,Laki-laki,60,1026.0,1
3307,D,pesawat,3,5,252.0,3,sedang,Perempuan,8,4557.0,1
3308,A,kapal,5,2,215.0,6,sedang,Perempuan,5,5195.0,1
3309,F,kapal,4,5,265.0,2,sedang,Perempuan,18,2969.0,1
3310,C,kapal,5,4,210.0,3,sedang,Perempuan,6,5102.0,0
3311,B,darat,4,5,224.0,4,sedang,Laki-laki,21,2026.0,1
3312,D,darat,5,3,111.0,4,sedang,Perempuan,8,4575.0,0
3313,C,kapal,4,4,207.0,2,sedang,Perempuan,14,2945.0,1
3314,A,kapal,5,1,226.0,2,sedang,Laki-laki,6,5395.0,0
3315,C,pesawat,6,2,271.0,5,rendah,Laki-laki,14,2514.0,1
3316,F,pesawat,4,2,272.0,2,rendah,Laki-laki,57,2377.0,1
3317,F,kapal,3,5,154.0,2,sedang,Laki-laki,6,4675.0,1
3318,D,kapal,3,3,255.0,3,sedang,Laki-laki,23,3764.0,1
3319,B,kapal,4,3,210.0,3,sedang,Perempuan,6,2568.0,1
3320,B,pesawat,4,1,171.0,2,rendah,Laki-laki,3,4271.0,0
3321,D,kapal,5,1,224.0,3,rendah,Laki-laki,7,5870.0,1
3322,F,darat,4,3,136.0,3,rendah,Laki-laki,6,4911.0,1
3323,F,pesawat,4,3,163.0,2,rendah,Perempuan,12,1092.0,1
3324,D,darat,3,5,251.0,3,rendah,Perempuan,21,2476.0,1
3325,B,pesawat,2,1,271.0,3,rendah,Laki-laki,1,4537.0,0
3326,F,kapal,3,4,272.0,3,rendah,Laki-laki,44,2548.0,1
3327,F,kapal,5,5,198.0,2,tinggi,Laki-laki,3,5249.0,0
3328,F,darat,6,1,139.0,5,sedang,Laki-laki,1,4243.0,0
3329,D,kapal,3,1,167.0,2,rendah,Perempuan,8,4171.0,1
3330,F,darat,5,1,251.0,6,rendah,Perempuan,3,1562.0,0
3331,C,kapal,4,2,265.0,3,rendah,Perempuan,41,3498.0,1
3332,A,darat,4,4,218.0,5,sedang,Perempuan,36,2995.0,1
3333,D,kapal,3,5,272.0,2,sedang,Laki-laki,6,4652.0,0
3334,F,kapal,6,5,304.0,4,rendah,Laki-laki,8,1755.0,1
3335,F,kapal,4,4,259.0,2,rendah,Laki-laki,6,4308.0,1
3336,F,kapal,6,2,247.0,4,rendah,Laki-laki,10,1556.0,0
3337,B,darat,6,4,174.0,3,sedang,Perempuan,14,1651.0,1
3338,D,pesawat,3,4,188.0,4,rendah,Perempuan,49,3067.0,1
3339,F,darat,5,2,239.0,5,sedang,Perempuan,6,1310.0,1
3340,B,kapal,4,2,151.0,3,sedang,Laki-laki,8,4390.0,1
3341,F,kapal,3,3,155.0,2,sedang,Perempuan,5,5577.0,0
3342,F,darat,3,4,191.0,5,sedang,Perempuan,4,4243.0,1
3343,A,kapal,3,4,164.0,3,sedang,Laki-laki,13,1158.0,1
3344,D,kapal,4,5,186.0,7,sedang,Perempuan,1,4357.0,0
3345,C,kapal,7,5,278.0,4,rendah,Perempuan,5,1126.0,1
3346,B,kapal,6,3,259.0,4,rendah,Perempuan,3,4117.0,1
3347,B,kapal,6,2,225.0,4,rendah,Laki-laki,6,5787.0,1
3348,A,kapal,4,4,200.0,2,rendah,Laki-laki,5,5783.0,0
3349,C,pesawat,7,1,255.0,4,sedang,Perempuan,3,1450.0,0
3350,D,darat,3,3,196.0,3,rendah,Laki-laki,9,4431.0,0
3351,A,kapal,3,4,148.0,3,rendah,Laki-laki,1,4387.0,0
3352,B,kapal,5,4,229.0,2,sedang,Perempuan,44,2419.0,1
3353,C,kapal,5,4,185.0,4,sedang,Laki-laki,31,3565.0,1
3354,F,kapal,3,4,166.0,3,tinggi,Laki-laki,6,,0
3355,A,kapal,6,5,293.0,5,rendah,Perempuan,1,1278.0,0
3356,D,kapal,5,1,249.0,3,rendah,Perempuan,8,5940.0,0
3357,A,kapal,3,4,117.0,3,sedang,Laki-laki,23,1527.0,1
3358,B,kapal,3,3,193.0,3,sedang,Perempuan,29,3453.0,1
3359,A,darat,6,3,233.0,3,sedang,Perempuan,9,4293.0,1
3360,F,kapal,5,2,182.0,3,rendah,Perempuan,10,4128.0,1
3361,A,kapal,3,2,226.0,2,rendah,Laki-laki,10,4254.0,0
3362,B,darat,4,2,227.0,5,rendah,Laki-laki,7,1354.0,1
3363,F,kapal,5,4,281.0,4,sedang,Laki-laki,8,1220.0,0
3364,B,kapal,5,5,167.0,3,rendah,Laki-laki,10,5591.0,0
3365,B,kapal,3,2,255.0,3,sedang,Perempuan,8,4471.0,0
3366,F,kapal,5,3,181.0,3,tinggi,Laki-laki,7,5675.0,1
3367,C,darat,3,1,223.0,3,rendah,Laki-laki,8,5318.0,0
3368,B,kapal,5,4,223.0,5,rendah,Perempuan,2,1713.0,0
3369,F,kapal,4,4,174.0,2,rendah,Perempuan,1,4541.0,1
3370,F,kapal,4,4,177.0,2,rendah,Perempuan,6,5116.0,0
3371,A,darat,3,5,166.0,3,rendah,Perempuan,1,1366.0,1
3372,C,pesawat,4,3,210.0,3,rendah,Perempuan,46,2344.0,1
3373,B,kapal,5,4,164.0,3,rendah,Laki-laki,9,5135.0,1
3374,D,kapal,2,4,156.0,3,sedang,Perempuan,8,5668.0,1
3375,C,pesawat,2,3,251.0,3,rendah,Perempuan,2,3351.0,1
3376,B,kapal,3,3,181.0,3,sedang,Perempuan,3,5620.0,1
3377,D,kapal,5,3,127.0,3,rendah,Perempuan,43,1446.0,1
3378,D,kapal,3,1,200.0,2,sedang,Laki-laki,27,,1
3379,F,darat,3,5,191.0,3,tinggi,Perempuan,17,2235.0,1
3380,F,kapal,4,4,186.0,2,sedang,Perempuan,9,4887.0,1
3381,B,kapal,4,1,220.0,3,sedang,Laki-laki,1,5159.0,1
3382,F,kapal,4,2,270.0,2,tinggi,Perempuan,3,4914.0,1
3383,D,kapal,3,4,201.0,3,rendah,Perempuan,6,5722.0,1
3384,D,kapal,3,5,272.0,10,sedang,Laki-laki,59,2182.0,1
3385,C,kapal,3,3,207.0,10,rendah,Perempuan,7,4423.0,0
3386,A,kapal,5,1,133.0,2,sedang,Laki-laki,1,4643.0,0
3387,A,darat,6,2,309.0,4,rendah,Perempuan,6,1335.0,0
3388,B,kapal,3,2,213.0,4,rendah,Laki-laki,53,3502.0,1
3389,B,pesawat,3,5,224.0,3,sedang,Perempuan,20,,1
3390,C,pesawat,4,2,223.0,6,rendah,Perempuan,10,1650.0,1
3391,C,pesawat,4,5,187.0,5,sedang,Laki-laki,16,3781.0,1
3392,F,kapal,3,5,226.0,3,rendah,Laki-laki,8,5203.0,1
3393,F,pesawat,3,2,150.0,3,tinggi,Laki-laki,2,5502.0,0
3394,D,kapal,3,4,268.0,2,sedang,Perempuan,4,1442.0,1
3395,B,kapal,4,5,218.0,6,rendah,Laki-laki,5,4364.0,1
3396,B,kapal,4,3,187.0,4,rendah,Laki-laki,9,5699.0,1
3397,D,kapal,4,3,170.0,2,rendah,Laki-laki,3,4587.0,1
3398,F,pesawat,4,3,246.0,2,rendah,Laki-laki,60,2086.0,1
3399,F,kapal,5,3,185.0,3,rendah,Laki-laki,25,2503.0,1
3400,C,kapal,4,5,208.0,2,sedang,Laki-laki,33,2170.0,1
3401,B,kapal,4,5,243.0,3,rendah,Laki-laki,9,5263.0,0
3402,A,kapal,4,3,163.0,8,sedang,Perempuan,6,5739.0,0
3403,F,kapal,3,4,213.0,3,tinggi,Perempuan,4,5996.0,0
3404,B,darat,5,1,113.0,3,sedang,Perempuan,6,5509.0,1
3405,F,kapal,4,4,261.0,5,sedang,Perempuan,2,1829.0,0
3406,A,kapal,4,1,216.0,3,rendah,Perempuan,43,2643.0,1
3407,B,pesawat,3,2,261.0,2,sedang,Laki-laki,10,4035.0,0
3408,A,darat,5,3,236.0,3,sedang,Laki-laki,7,3589.0,1
3409,D,pesawat,2,1,112.0,5,rendah,Perempuan,1,4543.0,0
3410,B,kapal,4,5,228.0,5,rendah,Laki-laki,5,1373.0,1
3411,A,darat,4,2,221.0,3,rendah,Laki-laki,10,5632.0,0
3412,C,kapal,5,3,252.0,4,sedang,Laki-laki,63,3729.0,1
3413,A,kapal,3,1,206.0,3,tinggi,Perempuan,8,4763.0,1
3414,F,pesawat,2,1,205.0,4,sedang,Perempuan,63,2156.0,1
3415,F,pesawat,3,4,181.0,3,rendah,Laki-laki,10,5276.0,1
3416,F,kapal,4,1,151.0,2,sedang,Laki-laki,6,1114.0,1
3417,A,pesawat,4,2,187.0,2,rendah,Laki-laki,54,2191.0,1
3418,A,kapal,4,3,256.0,3,tinggi,Perempuan,1,4323.0,0
3419,F,kapal,4,4,301.0,5,rendah,Laki-laki,6,1931.0,0
3420,C,kapal,4,5,213.0,3,sedang,Perempuan,42,3121.0,1
3421,D,darat,4,4,271.0,6,tinggi,Laki-laki,3,5204.0,0
3422,F,kapal,4,5,227.0,2,rendah,Laki-laki,7,4414.0,0
3423,D,darat,2,3,255.0,3,rendah,Laki-laki,27,3484.0,1
3424,B,kapal,5,3,194.0,3,rendah,Laki-laki,7,,0
3425,C,kapal,3,3,241.0,3,sedang,Perempuan,10,5275.0,1
3426,D,kapal,5,3,268.0,5,sedang,Laki-laki,5,1365.0,0
3427,A,kapal,5,1,258.0,3,sedang,Perempuan,8,5694.0,0
3428,A,kapal,5,1,200.0,8,rendah,Perempuan,18,3806.0,1
3429,B,kapal,5,5,228.0,4,rendah,Laki-laki,6,4946.0,1
3430,D,darat,4,5,140.0,2,sedang,Perempuan,5,4347.0,1
3431,C,kapal,3,3,154.0,2,rendah,Perempuan,57,1096.0,1
3432,D,kapal,5,2,236.0,6,rendah,Perempuan,6,1552.0,0
3433,F,kapal,3,4,251.0,10,sedang,Perempuan,2,4336.0,1
3434,D,darat,4,3,195.0,3,rendah,Laki-laki,1,4236.0,1
3435,F,pesawat,4,2,139.0,4,rendah,Perempuan,41,1511.0,1
3436,B,kapal,4,2,133.0,4,sedang,Perempuan,52,1401.0,1
3437,A,pesawat,2,4,151.0,4,rendah,Perempuan,6,1803.0,0
3438,A,kapal,3,1,110.0,4,sedang,Perempuan,6,5474.0,1
3439,C,darat,5,5,195.0,4,sedang,Laki-laki,1,4482.0,0
3440,D,darat,3,5,168.0,2,tinggi,Laki-laki,50,1616.0,1
3441,A,kapal,4,3,245.0,5,rendah,Laki-laki,7,,0
3442,B,kapal,5,4,232.0,5,sedang,Laki-laki,5,1337.0,0
3443,F,pesawat,5,3,228.0,5,tinggi,Laki-laki,9,1924.0,0
3444,C,kapal,3,5,195.0,3,sedang,Perempuan,47,2439.0,1
3445,F,pesawat,3,3,239.0,4,rendah,Perempuan,5,4084.0,1
3446,B,kapal,3,5,118.0,4,rendah,Perempuan,10,5699.0,1
3447,B,pesawat,3,1,267.0,2,rendah,Laki-laki,7,4486.0,1
3448,A,kapal,5,4,203.0,2,tinggi,Perempuan,2,4190.0,1
3449,D,kapal,6,2,306.0,4,rendah,Perempuan,1,1815.0,1
3450,C,kapal,2,3,144.0,4,rendah,Perempuan,10,4075.0,0
3451,A,kapal,6,5,249.0,4,sedang,Laki-laki,3,1710.0,1
3452,D,pesawat,3,4,271.0,3,sedang,Laki-laki,1,4444.0,1
3453,B,kapal,5,5,257.0,4,sedang,Laki-laki,31,2040.0,1
3454,F,kapal,3,2,159.0,3,sedang,Perempuan,4,1681.0,1
3455,F,kapal,4,5,190.0,3,rendah,Laki-laki,2,4554.0,0
3456,C,kapal,4,5,231.0,3,rendah,Laki-laki,4,5089.0,1
3457,C,kapal,2,2,227.0,4,sedang,Laki-laki,6,4104.0,1
3458,D,kapal,5,3,242.0,3,rendah,Laki-laki,58,3411.0,1
3459,C,kapal,6,4,206.0,5,sedang,Perempuan,10,,0
3460,F,kapal,6,4,280.0,4,rendah,Laki-laki,4,1831.0,1
3461,F,darat,3,1,119.0,2,rendah,Perempuan,10,4146.0,1
3462,F,darat,3,3,244.0,3,rendah,Laki-laki,6,5109.0,0
3463,F,kapal,4,5,239.0,3,rendah,Laki-laki,6,5154.0,1
3464,A,kapal,6,4,281.0,3,rendah,Perempuan,7,5180.0,0
3465,A,kapal,5,5,134.0,2,sedang,Laki-laki,64,1785.0,1
3466,F,darat,5,2,266.0,5,sedang,Laki-laki,8,1367.0,0
3467,F,darat,4,2,186.0,10,rendah,Laki-laki,45,,1
3468,F,kapal,3,4,208.0,2,rendah,Perempuan,37,2537.0,1
3469,B,kapal,4,3,271.0,4,rendah,Perempuan,24,3499.0,1
3470,A,darat,3,1,180.0,2,rendah,Perempuan,65,1321.0,1
3471,A,kapal,2,3,110.0,5,rendah,Laki-laki,3,4124.0,0
3472,C,pesawat,4,3,219.0,5,rendah,Perempuan,8,1702.0,1
3473,F,kapal,4,4,189.0,2,sedang,Laki-laki,3,5837.0,1
3474,F,kapal,3,5,224.0,2,rendah,Laki-laki,13,3891.0,1
3475,F,darat,4,4,266.0,3,rendah,Perempuan,6,5758.0,1
3476,F,kapal,4,1,268.0,4,sedang,Perempuan,2,4543.0,0
3477,D,darat,5,3,216.0,3,sedang,Perempuan,1,2434.0,1
3478,D,pesawat,7,5,269.0,4,sedang,Laki-laki,2,1592.0,0
3479,A,darat,4,1,274.0,4,sedang,Laki-laki,61,3402.0,1
3480,D,pesawat,3,3,183.0,3,rendah,Laki-laki,4,5322.0,0
3481,D,kapal,4,2,221.0,3,rendah,Laki-laki,10,4126.0,0
3482,C,kapal,4,3,169.0,2,rendah,Laki-laki,2,1399.0,1
3483,B,darat,6,4,285.0,4,sedang,Laki-laki,9,1180.0,0
3484,A,kapal,5,4,255.0,3,rendah,Perempuan,1,5775.0,1
3485,A,kapal,5,3,131.0,8,rendah,Perempuan,5,4149.0,1
3486,D,kapal,2,5,117.0,3,tinggi,Perempuan,2,4268.0,1
3487,F,kapal,5,1,174.0,6,sedang,Laki-laki,44,1635.0,1
3488,A,kapal,3,1,148.0,2,sedang,Laki-laki,5,4082.0,1
3489,F,kapal,3,5,275.0,3,,Laki-laki,6,5148.0,0
3490,F,kapal,3,3,270.0,3,tinggi,Perempuan,7,4690.0,1
3491,D,kapal,4,5,244.0,3,rendah,Laki-laki,6,1360.0,1
3492,A,kapal,6,2,287.0,4,rendah,Perempuan,7,1837.0,1
3493,B,pesawat,5,2,223.0,5,rendah,Perempuan,5,,1
3494,C,kapal,2,2,173.0,2,sedang,Laki-laki,34,1575.0,1
3495,F,pesawat,5,3,247.0,5,rendah,Laki-laki,10,1699.0,1
3496,A,kapal,3,4,164.0,2,rendah,Laki-laki,1,4067.0,1
3497,A,darat,6,4,300.0,4,sedang,Perempuan,7,1607.0,0
3498,B,kapal,4,5,135.0,3,rendah,Perempuan,6,4557.0,0
3499,F,kapal,2,1,203.0,4,sedang,Perempuan,4,4145.0,0
3500,C,kapal,5,2,209.0,4,sedang,Perempuan,12,2933.0,1
3501,A,darat,5,5,232.0,4,rendah,Laki-laki,3,5447.0,0
3502,A,pesawat,5,3,167.0,3,rendah,Laki-laki,9,5026.0,0
3503,D,kapal,5,3,186.0,4,sedang,Perempuan,11,3676.0,1
3504,C,kapal,3,3,236.0,3,rendah,Perempuan,28,3652.0,1
3505,B,pesawat,4,1,212.0,3,rendah,Laki-laki,2,4353.0,1
3506,A,kapal,3,3,249.0,3,rendah,Laki-laki,10,5184.0,0
3507,C,darat,3,4,195.0,2,sedang,Perempuan,32,3719.0,1
3508,F,kapal,4,3,129.0,6,sedang,Perempuan,5,5626.0,0
3509,C,kapal,4,4,253.0,5,rendah,Perempuan,2,1709.0,0
3510,C,kapal,2,5,164.0,4,sedang,Laki-laki,2,1439.0,1
3511,C,pesawat,4,2,239.0,5,rendah,Perempuan,10,1429.0,0
3512,A,kapal,6,2,265.0,3,rendah,Laki-laki,3,1904.0,1
3513,C,kapal,4,2,207.0,3,sedang,Perempuan,5,4702.0,1
3514,B,kapal,4,3,233.0,5,rendah,Laki-laki,5,1799.0,1
3515,A,kapal,4,4,245.0,2,rendah,Laki-laki,6,5772.0,0
3516,A,kapal,6,3,281.0,4,sedang,Perempuan,7,1599.0,1
3517,A,pesawat,3,1,166.0,5,rendah,Perempuan,8,4759.0,1
3518,B,kapal,4,2,158.0,4,rendah,Perempuan,45,1758.0,1
3519,B,kapal,4,4,179.0,3,tinggi,Perempuan,1,5242.0,1
3520,B,kapal,4,4,231.0,5,rendah,Perempuan,6,5482.0,0
3521,A,kapal,3,2,174.0,3,rendah,Laki-laki,3,4132.0,0
3522,A,kapal,3,5,169.0,3,rendah,Laki-laki,1,4636.0,1
3523,A,darat,3,1,169.0,3,tinggi,Laki-laki,24,1740.0,1
3524,A,kapal,6,4,290.0,4,sedang,Laki-laki,10,1366.0,0
3525,F,kapal,2,2,158.0,3,sedang,Perempuan,2,4153.0,0
3526,D,pesawat,3,2,209.0,5,sedang,Perempuan,12,3054.0,1
3527,F,kapal,3,5,150.0,2,sedang,Laki-laki,10,5187.0,0
3528,F,kapal,4,1,160.0,2,tinggi,Perempuan,65,1861.0,1
3529,F,kapal,4,3,257.0,3,rendah,Laki-laki,8,4447.0,1
3530,F,kapal,3,2,153.0,4,tinggi,Laki-laki,7,4750.0,1
3531,B,kapal,3,4,253.0,3,sedang,Laki-laki,4,4269.0,0
3532,F,pesawat,4,4,224.0,5,rendah,Perempuan,9,4902.0,1
